shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
6,Colcci,Moda,34,16,45817.85,1347.58,NS,2
6,Las Leñas Parrilla Uruguaya,Gastronomia,150,11,42083.3,280.56,NS,3
6,Samsung,Eletrônicos,16,5,41321.5,2582.59,NS,4
6,Vivara,Joalheria,13,10,35843.71,2757.21,NS,5
6,C&A,Moda,137,111,35738.75,260.87,NS,6
6,Centauro,Esportes,93,67,34913.56,375.41,NS,7
6,Riachuelo,Moda,119,104,28827.71,242.25,NS,8
6,Cassol Centerlar,Casa e Decoração,55,41,23298.53,423.61,NS,9
6,Luz da Lua,Calçados Femininos,20,19,20571.4,1028.57,NS,10
6,Tokaia,Moda,5,4,17218.0,3443.6,NS,11
6,Cobasi,Pets,114,82,16061.37,140.89,NS,12
6,Dudalina,Moda,14,12,13915.8,993.99,NS,13
6,Empório Du Homem,Moda,6,5,12530.08,2088.35,NS,14
6,Békko,Moda,13,13,11880.5,913.88,NS,15
6,Aramis,Moda,11,9,11504.71,1045.88,NS,16
6,Cacau Show,Gastronomia,68,53,10746.09,158.03,NS,17
6,Pittol,Calçados,46,40,10472.09,227.65,NS,18
6,Livraria Catarinense,Livrarias,97,87,9284.06,95.71,NS,19
6,Live!,Moda,10,9,9130.52,913.05,NS,20
6,Youcom,Moda,30,28,9101.98,303.4,NS,21
6,Fátima Esportes,Esportes,18,16,8956.0,497.56,NS,22
6,Arezzo,Calçados,14,13,8337.54,595.54,NS,23
6,Acuo,Moda,21,18,7780.94,370.52,NS,24
6,Beagle,Moda,17,15,7513.43,441.97,NS,25
6,Bagaggio,Presentes e Acessórios,11,11,7482.23,680.2,NS,26
6,Ritmi Studio,Moda Feminina,26,26,7228.4,278.02,NS,27
6,Panvel Farmácias,Farmácias,56,45,7149.33,127.67,NS,28
6,Hope Nacoes Shopping,Outros,24,21,7074.0,294.75,NS,29
6,Damyller,Moda,4,4,7000.0,1750.0,NS,30
6,Kopenhagen,Não informado,58,53,6911.06,119.16,NS,31
6,Reserva Nacoes Shopping,Moda,8,8,6767.0,845.88,NS,32
6,Lança Perfume,Moda,4,3,6747.3,1686.82,NS,33
6,Fátima Criança,Infantil,31,27,6566.69,211.83,NS,34
6,Avatim,Beleza e Bem-estar,40,35,6367.5,159.19,NS,35
6,BelShop,Beleza e Bem-estar,42,35,6222.12,148.15,NS,36
6,Camicado,Casa e Decoração,27,21,6201.35,229.68,NS,37
6,Strutura,Moda,19,11,6147.5,323.55,NS,38
6,GrandVision by Fototica,Ótica,4,4,5962.75,1490.69,NS,39
6,Kings,Moda,8,5,5712.32,714.04,NS,40
6,Calvin Klein e Tommy Hilfiger,Moda,6,5,4781.0,796.83,NS,41
6,Lupo,Moda,26,24,4714.05,181.31,NS,42
6,Camarão Express,Gastronomia,53,41,4677.12,88.25,NS,43
6,Grandvision By Fototica,Gastronomia - Restaurante,3,2,4435.0,1478.33,NS,44
6,Wepink,Beleza e Bem-estar,33,27,4208.6,127.53,NS,45
6,Crocs,Calçados,12,12,4007.67,333.97,NS,46
6,Santo Boteco,Gastronomia,36,22,3928.22,109.12,NS,47
6,Ophicina Foot Wear,Não informado,4,4,3598.98,899.74,NS,48
6,Mini Kalzone,Gastronomia,156,100,3500.7,22.44,NS,49
6,Royal Trudel,Gastronomia,54,32,3419.89,63.33,NS,50
6,Burger King,Gastronomia,63,49,3396.8,53.92,NS,51
6,Chilli Beans,Ótica,6,6,3054.87,509.14,NS,52
6,Adcos,Beleza e Bem-estar,4,4,3026.96,756.74,NS,53
6,Me Linda,Farmácias,19,16,2927.1,154.06,NS,54
6,Outback SteakHouse,Gastronomia,14,14,2775.28,198.23,NS,55
6,Lojas Americanas,Supermercado,27,22,2772.99,102.7,NS,56
6,Havaianas,Calçados,28,26,2596.59,92.74,NS,57
6,Mamma Mia Galeto,Gastronomia,8,8,2582.41,322.8,NS,58
6,z Kfc,Gastronomia,54,43,2500.29,46.3,NS,59
6,Tigre Maníacos,Esportes,9,8,2330.9,258.99,NS,60
6,Natura,Beleza e Bem-estar,21,21,2281.82,108.66,NS,61
6,Ri Happy Baby,Infantil,17,16,2211.56,130.09,NS,62
6,World Tennis,Calçados,5,5,2159.92,431.98,NS,63
6,Uebel Make Up,Beleza e Bem-estar,14,11,2106.08,150.43,NS,64
6,Casa Maria,Casa e Decoração,33,31,2079.54,63.02,NS,65
6,Mar de Maria,Moda,13,11,2047.91,157.53,NS,66
6,Fátima Bebê,Infantil,10,8,2030.6,203.06,NS,67
6,Griletto,Gastronomia,28,24,1915.3,68.4,NS,68
6,Officina Gelatiera,Gastronomia,32,22,1898.0,59.31,NS,69
6,Lug's,Gastronomia,31,21,1750.0,56.45,NS,70
6,Cantinho Grill,Gastronomia,25,17,1654.2,66.17,NS,71
6,Fátima Papelaria,Papelaria,26,22,1647.9,63.38,NS,72
6,Pandora,Joalheria,4,4,1642.0,410.5,NS,73
6,Polo Wear,Moda,10,10,1631.72,163.17,NS,74
6,Villa,Moda,5,5,1540.37,308.07,NS,75
6,Me.Linda,Beleza e Bem-estar,10,8,1483.14,148.31,NS,76
6,Donna Mirô,Gastronomia,27,14,1384.38,51.27,NS,77
6,Ótica Chilli Beans,Ótica,2,1,1359.92,679.96,NS,78
6,Mundo Geek,Outros,10,10,1287.1,128.71,NS,79
6,Farm,Moda,3,3,1068.5,356.17,NS,80
6,JAH Açaí,Gastronomia,32,21,1040.76,32.52,NS,81
6,Subway,Gastronomia,19,13,1032.4,54.34,NS,82
6,AJFans Nações Shopping (Ação especial),Telefonia,2,2,1000.0,500.0,NS,83
6,Via Pian Food,Gastronomia,17,13,949.62,55.86,NS,84
6,Gnc Cinemas,Lazer,14,13,877.5,62.68,NS,85
6,z Bob's - Quiosque 2,Gastronomia,22,21,861.6,39.16,NS,86
6,Essence Parfums,Beleza e Bem-estar,1,1,839.37,839.37,NS,87
6,Baummer,Joalheria,6,6,719.21,119.87,NS,88
6,Kitsu Box,Gastronomia,6,6,647.0,107.83,NS,89
6,Panda Sushi,Gastronomia,9,9,487.64,54.18,NS,90
6,Milkymoo,Gastronomia - Sorvetes,11,9,379.0,34.45,NS,91
6,Maxmuscle,Esportes,2,2,347.0,173.5,NS,92
6,Fábrica Di Chocolate,Gastronomia,4,3,340.69,85.17,NS,93
6,O Boticário,Beleza e Bem-estar,2,2,331.8,165.9,NS,94
6,Chef's & Fritas,Gastronomia,3,3,287.4,95.8,NS,95
6,Milky Moo - Quiosque,Gastronomia,10,5,258.0,25.8,NS,96
6,Gio Gelato Sorveteria Italiana Artesanal,Não informado,8,5,237.45,29.68,NS,97
6,St.Chicken,Gastronomia,3,3,232.8,77.6,NS,98
6,Café Cultura,Gastronomia,5,5,198.0,39.6,NS,99
6,Fini,Gastronomia,7,4,93.32,13.33,NS,100
6,Geror,Ótica,1,1,89.9,89.9,NS,101
6,Le Charbon Crepes e Café,Gastronomia,3,3,67.0,22.33,NS,102
6,Big Jack Cervejaria,Gastronomia,3,3,60.0,20.0,NS,103
6,Panda Café & Chá Mix,Gastronomia,3,3,56.5,18.83,NS,104
6,Estacionamento - Nações Shopping,Serviços,2,2,44.0,22.0,NS,105
6,Tabacaria El Patrono,Presentes e Acessórios,1,1,39.9,39.9,NS,106
6,Drive Kids,Lazer,1,1,30.0,30.0,NS,107
6,Chope do Mestre,Gastronomia,2,1,16.0,8.0,NS,108
