shopping_id,cnpj,loja_nome,segmento,cupons,clientes,valor_total,shopping_sigla,participou
1,50878192000101,Antonio's Boliche,Lazer,0,0,0.0,CS,False
1,76381169000443,CVC,Serviços,0,0,0.0,CS,False
1,62405757000112,Chilli Beans,Ótica,0,0,0.0,CS,False
1,15833712000169,Chilli Beans,Ótica,0,0,0.0,CS,False
1,62405753000134,Chilli Beans Ótica,Ótica,0,0,0.0,CS,False
1,52580104000205,Divert Park,Lazer,0,0,0.0,CS,False
1,26585335000102,Drive Kids,Lazer,0,0,0.0,CS,False
1,63712614000116,Eleve by 26fit,Esportes,0,0,0.0,CS,False
1,38449696000100,Empório Seletto,Supermercado,0,0,0.0,CS,False
1,08845676044560,Espaço Laser,Beleza e Bem-estar,0,0,0.0,CS,False
1,26137868000121,Estacionamento,Serviços,0,0,0.0,CS,False
1,21380105000193,Havanna Heladeria,Gastronomia,0,0,0.0,CS,False
1,17795974000101,JBay,Moda,0,0,0.0,CS,False
1,04657129002171,JCanedo,Moda,0,0,0.0,CS,False
1,31911762000335,Joker Socks,Presentes e Acessórios,0,0,0.0,CS,False
1,50721523000103,LENTES ACUVUE,Ótica,0,0,0.0,CS,False
1,43849161000167,Laundrexpress (em breve),Serviços,0,0,0.0,CS,False
1,07719288000106,MAZE,Calçados,0,0,0.0,CS,False
1,02455036009494,Motorola,Telefonia,0,0,0.0,CS,False
1,44453337000120,Nutty Bavarian,Gastronomia,0,0,0.0,CS,False
1,46424765000150,OJO BY MR. RAY,Ótica,0,0,0.0,CS,False
1,48586755000146,ORTOBOM,Casa e Decoração,0,0,0.0,CS,False
1,51537088000116,PIPOCA AMERICANA,Gastronomia,0,0,0.0,CS,False
1,39362798000238,Suíça Relógios,Serviços,0,0,0.0,CS,False
1,02255187000108,Unifique,Telefonia,0,0,0.0,CS,False
1,62687135000124,XaraNNga Estética Automotiva,Lavação Automotiva,0,0,0.0,CS,False
2,92754738011792,Renner,Moda,379,274,119259.46,BS,True
2,06347409003423,Centauro,Esportes,190,164,82444.34,BS,True
2,84453844014057,Vivara,Joalheria,23,20,77066.99,BS,True
2,20702154005363,Lindt,Gastronomia,170,140,65352.63,BS,True
2,24357761000163,Victor Hugo,Moda Feminina,18,11,64241.71,BS,True
2,45242914019205,C&A,Moda,170,142,51099.52,BS,True
2,03179385000194,Paris Cosméticos,Beleza e Bem-estar,103,91,36118.89,BS,True
2,49669856026886,Le Lis Blanc,Moda,16,15,35233.56,BS,True
2,11516257004961,Lofty style,Moda Feminina,35,32,32606.6,BS,True
2,47100110024888,Brooksfield,Moda,12,12,28370.24,BS,True
2,10346495000169,Cacau Show,Gastronomia,105,87,27482.6,BS,True
2,04692027003673,Oakley,Ótica,12,11,27205.6,BS,True
2,88936323001961,Coliseu,Joalheria,6,5,26607.0,BS,True
2,23103714000392,Track&Field,Moda,43,35,26463.54,BS,True
2,03733595004412,Superlegal Brinquedos,Infantil,118,99,25184.3,BS,True
2,09017661001338,Paula Torres,Calçados Femininos,9,9,24919.31,BS,True
2,13257648009901,Rayban,Ótica,14,13,24810.5,BS,True
2,05570154001295,Adidas,Esportes,29,25,24176.05,BS,True
2,05570154001708,Adidas Originals,Moda,29,27,23870.7,BS,True
2,04756550000196,The North Face,Moda,14,7,23633.0,BS,True
2,79065181001409,Livrarias Catarinense,Livrarias,196,159,22869.59,BS,True
2,57673178000110,Zeiss Vision Center,Ótica,4,4,20325.0,BS,True
2,14012554006588,Dress To,Moda Feminina,14,14,19786.0,BS,True
2,32143917000131,Magic Feet,Moda,19,16,19773.86,BS,True
2,02455036001752,Samsung,Eletrônicos,2,2,19574.0,BS,True
2,36331349000153,Arezzo,Calçados Femininos,34,32,19240.85,BS,True
2,48729832000170,Kopenhagen,Gastronomia,81,57,18262.22,BS,True
2,02926185002805,Le Creuset,Casa e Decoração,21,19,17999.25,BS,True
2,35303139003376,Live!,Moda,31,28,17832.28,BS,True
2,48812567000350,Virus 41,Calçados,21,21,17079.41,BS,True
2,17261661007852,Outback Steakhouse,Gastronomia,62,47,15888.9,BS,True
2,59546515000134,Nike,Moda,12,12,15072.68,BS,True
2,28383312000302,Maria Dolores,Joalheria,6,6,14889.0,BS,True
2,61747426000106,Hope,Moda,39,37,14882.29,BS,True
2,14959293000143,Dolce & Gabbana,Moda,2,2,14809.0,BS,True
2,08743025007957,Granado,Beleza e Bem-estar,59,45,14646.18,BS,True
2,33200056057680,Carter´s,Infantil,33,30,14639.41,BS,True
2,33164270000197,Miniso,Presentes e Acessórios,101,35,14441.67,BS,True
2,75293662001763,Altenburg,Casa e Decoração,6,6,14353.56,BS,True
2,58731662017278,Ri Happy,Infantil,64,54,13823.82,BS,True
2,13783221018920,Madero,Gastronomia,72,60,13073.44,BS,True
2,24991405000105,Levi's,Moda,21,21,12959.63,BS,True
2,89237911017116,iPlace Mobile,Eletrônicos,9,9,12742.97,BS,True
2,57621054003530,Boss,Moda,10,7,12577.0,BS,True
2,27769320000167,Clifield,Moda,16,14,12298.9,BS,True
2,47960950125331,Magazine Luiza,Eletrodomésticos,6,6,12294.88,BS,True
2,78876950003006,Hering Store,Moda,37,35,11876.0,BS,True
2,34509029000115,Lupo,Moda,40,38,11789.5,BS,True
2,09611669014900,Farm,Moda,14,12,11296.09,BS,True
2,49669856026703,John John Denim,Moda,15,10,11290.64,BS,True
2,00776574161087,Lojas Americanas,Supermercado,180,109,11285.95,BS,True
2,06159920000214,Lua Luá,Moda,24,19,10721.3,BS,True
2,13257648014492,Grandvision by Fototica,Ótica,9,4,10704.4,BS,True
2,03002339009090,Camicado,Casa e Decoração,39,34,10316.78,BS,True
2,11950487018218,Bacio di Latte,Gastronomia,139,90,10267.22,BS,True
2,09148568000129,Schutz,Calçados,11,11,9427.0,BS,True
